Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Action,Expected Payout
10,0,1,4,0,0.0
10,0,1,4,1,0.0
10,0,1,4,2,0.0
10,0,1,4,3,0.0
10,0,1,4,4,0.0
10,0,1,4,5,0.0
10,0,1,4,6,0.0
10,0,1,4,7,0.0
10,0,1,4,8,0.0
10,0,1,4,9,0.0
10,0,1,4,10,0.0
3,0,3,3,0,0.0
3,0,3,3,1,0.0
3,0,3,3,2,0.0
3,0,3,3,3,0.0
3,0,3,3,4,0.0
3,0,3,3,5,0.0
3,0,3,3,6,0.0
3,0,3,3,7,0.0
3,0,3,3,8,0.0
3,0,3,3,9,0.0
3,0,3,3,10,0.0
3,0,3,2,0,0.0
3,0,3,2,1,0.0
3,0,3,2,2,0.0
3,0,3,2,3,0.0
3,0,3,2,4,0.0
3,0,3,2,5,0.0
3,0,3,2,6,0.0
3,0,3,2,7,0.0
3,0,3,2,8,0.0
3,0,3,2,9,0.0
3,0,3,2,10,0.0
3,0,3,1,0,0.0
3,0,3,1,1,0.0
3,0,3,1,2,0.0
3,0,3,1,3,0.0
3,0,3,1,4,0.0
3,0,3,1,5,0.0
3,0,3,1,6,0.0
3,0,3,1,7,0.0
3,0,3,1,8,0.0
3,0,3,1,9,0.0
3,0,3,1,10,0.0
3,0,3,7,0,0.0
3,0,3,7,1,0.0
3,0,3,7,2,0.0
3,0,3,7,3,0.0
3,0,3,7,4,0.0
3,0,3,7,5,0.0
3,0,3,7,6,0.0
3,0,3,7,7,0.0
3,0,3,7,8,0.0
3,0,3,7,9,0.0
3,0,3,7,10,0.0
3,0,3,6,0,0.0
3,0,3,6,1,0.0
3,0,3,6,2,0.0
3,0,3,6,3,0.0
3,0,3,6,4,0.0
3,0,3,6,5,0.0
3,0,3,6,6,0.0
3,0,3,6,7,0.0
3,0,3,6,8,0.0
3,0,3,6,9,0.0
3,0,3,6,10,0.0
3,0,3,5,0,0.0
3,0,3,5,1,0.0
3,0,3,5,2,0.0
3,0,3,5,3,0.0
3,0,3,5,4,0.0
3,0,3,5,5,0.0
3,0,3,5,6,0.0
3,0,3,5,7,0.0
3,0,3,5,8,0.0
3,0,3,5,9,0.0
3,0,3,5,10,0.0
3,0,3,4,0,0.0
3,0,3,4,1,0.0
3,0,3,4,2,0.0
3,0,3,4,3,0.0
3,0,3,4,4,0.0
3,0,3,4,5,0.0
3,0,3,4,6,0.0
3,0,3,4,7,0.0
3,0,3,4,8,0.0
3,0,3,4,9,0.0
3,0,3,4,10,0.0
8,1,5,7,0,593509702.0449532
8,1,5,7,1,576910508.0536911
8,1,5,7,2,578814602.0134227
8,1,5,7,3,578814602.0134227
8,1,5,7,4,578814602.0134227
8,1,5,7,5,578814602.0134227
8,1,5,7,6,578814602.0134227
8,1,5,7,7,578814602.0134227
8,1,5,7,8,578814602.0134227
8,1,5,7,9,578814602.0134227
8,1,5,7,10,576910508.0536911
8,1,5,6,0,579544199.9999993
8,1,5,6,1,579544199.9999993
8,1,5,6,2,579544199.9999993
8,1,5,6,3,579544199.9999993
8,1,5,6,4,579544199.9999993
8,1,5,6,5,579544199.9999993
8,1,5,6,6,579544199.9999993
8,1,5,6,7,579544199.9999993
8,1,5,6,8,579544199.9999993
8,1,5,6,9,579544199.9999993
8,1,5,6,10,579544199.9999994
8,1,5,5,0,577667692.3076924
8,1,5,5,1,577667692.3076924
8,1,5,5,2,577667692.3076924
8,1,5,5,3,577667692.3076924
8,1,5,5,4,577667692.3076924
8,1,5,5,5,577667692.3076924
8,1,5,5,6,577667692.3076924
8,1,5,5,7,577667692.3076924
8,1,5,5,8,577667692.3076924
8,1,5,5,9,577667692.3076924
8,1,5,5,10,577667692.3076924
8,1,5,4,0,652774276.8166093
8,1,5,4,1,578020117.647059
8,1,5,4,2,578020117.647059
8,1,5,4,3,578020117.647059
8,1,5,4,4,578020117.647059
8,1,5,4,5,578020117.647059
